word,syllable_thai,syllable_roman,onset,vowel,coda,has_long_vowel,ipa,g2p
เกี่ยวข้อง,ข้อง,khong,kh,o,ng,True,kʰᴐːŋ3,khOON2
เป็นเรื่อง,เป็น,pen,p,e,n,False,pen1,pen0
เป็นเรื่อง,เรื่อง,rueang,r,uea,ng,True,rɯːaŋ3,rUUaN2
เสื้อ,เสื้อ,suea,s,uea,,True,sɯːa3,sUUa2
มื้อ,มื้อ,mue,m,ue,,True,mɯː4,mUU3
ผลกระทบ,ผล,phon,ph,o,n,False,pʰon5,phon4
ผลกระทบ,กระ,kra,kr,a,,False,kra2,kra1
ผลกระทบ,ทบ,thop,th,o,p,False,tʰop4,thop3
ที่อยู่,ที่,thi,th,i,,True,tʰiː3,thii2
ที่อยู่,อยู่,yu,y,u,,True,juː2,juu1
ป้าย,ป้าย,pai,p,ai,,True,paːj3,paaj2
ดังนั้น,ดัง,dang,d,a,ng,False,daŋ1,daN0
ดังนั้น,นั้น,nan,n,a,n,False,nan4,nan3
เพลง,เพลง,phleng,ph,le,ng,True,pʰleːŋ1,phleeN0
พวกเขา,พวก,phuak,ph,ua,k,True,pʰuːak3,phuuak2
พวกเขา,เขา,khao,kh,ao,,False,kʰaw5,khaw4
